,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens,lit_dom,bedrk_dep,perm_verylow_glob,perm_low_glob,perm_medium_glob,perm_high_glob,lit_fra_su,lit_fra_ss,lit_fra_sm,lit_fra_sc,lit_fra_mt,lit_fra_pi,lit_fra_py,lit_fra_vi,lit_fra_ev,lit_fra_ig,lit_fra_pa,lit_fra_pb,lit_fra_va,lit_fra_vb,perm_high_cont,perm_medium_cont,perm_low_cont,perm_verylow_cont,lit_fra_Conglomerates,lit_fra_Conglomerates and sands,lit_fra_Gravels,lit_fra_Sands,lit_fra_Sandstones,lit_fra_Sandstones and sands,root_dep_mean,root_dep_max,root_dep_min,soil_tawc_mean,soil_fra_sand_mean,soil_fra_silt_mean,soil_fra_clay_mean,soil_fra_grav_mean,soil_bd_mean,soil_oc_mean,lai_mean,ndvi_mean,lulc_2006_urban,lulc_2006_NonIrriAgri,lulc_2006_Agric,lulc_2006_forest,lulc_2006_grass,lulc_2006_agriculture,dam_num,res_num,lakes_num,lakes_tot_area,lakes_tot_vol,sno_cov_mean,irri_1990,irri_2005,stations_num_p_mean,perm_high_regi,perm_medium_regi,perm_low_regi,perm_high_glob2,perm_medium_glob2,perm_low_glob2,basin_id,group
10,A986201001,La Nied Allemande Ã  Varize,FR,FR_EAUFRANCE,La Nied Allemande à Varize,6.446071,49.142442,6.446071,49.142442,204,364.0,366.04,0,-0.5604395604395661,1969-01-01,2023-09-30,55,657,19974,12278,22.0,18898.0,854.0,222.0,B,,1,2,"['FR000201', 'FR003307']",0.827,0.391,1.831,3.215,0.499,128.962,20.432,0.069,3.234,20.924,4.172,88.419,12.341,0.0,2.135,2.164,1.014,-0.015,0.028,17.579,1.164,2.0,228.315,4.225,3.0,414.803,284.764,208.927,2.922,61.291,0.097,0.601,0.157,9,1.171,0.0,0.0,100.0,0.0,0.0,0.0,50.165,49.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.598,88.811,0.077,0.514,0.0,0.0,0.0,4.051,6.547,0.0,124.066,130.0,50.0,48.624,35.129,29.206,35.665,8.484,1.338,1.06,0.145,0.59,0.073,0.352,0.385,0.17,0.007,0.737,0.0,0.0,1.0,1.08,1.62,2.903,0.04,0.052,4.0,4.0,96.0,0.0,0.0,100.0,0.0,FR003307,Group_1
11,A654111001,La Vezouze Ã  ThiÃ©baumÃ©nil,FR,FR_EAUFRANCE,La Vezouze à Thiébauménil,6.624853,48.580949,6.624853,48.580949,231,458.0,471.349,0,-2.9146288209606963,1992-01-20,2023-09-30,32,375,11250,6518,327.0,10453.0,0.0,797.0,C,,1,5,"['FR000148', 'FR000149', 'FR003254', 'FR003255', 'FR003256']",0.933,0.398,1.622,2.647,0.528,135.13,28.804,0.137,3.391,10.573,2.358,47.105,8.617,0.0,2.392,2.164,0.905,-0.012,0.035,15.443,1.174,1.0,220.56,3.993,4.0,762.731,327.225,234.166,4.379,51.553,4.21,0.646,0.192,8,1.074,0.0,0.0,67.182,32.817,12.618,20.199,13.802,53.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.702,57.291,6.007,0.0,0.0,0.0,11.724,0.0,24.978,0.0,118.255,130.0,30.0,47.415,46.534,26.957,26.509,7.962,1.394,2.067,0.191,0.666,0.031,0.247,0.267,0.401,0.054,0.514,0.0,0.0,2.0,0.34,1.1,3.515,0.046,0.076,5.0,27.0,73.0,0.0,33.0,67.0,0.0,FR003256,Group_1
12,2626030300,GemuendOur,DE,DE_RP,Our,6.171,49.985,6.171,49.985,,613.4,615.0,0,-0.2608412129116437,1972-11-01,2021-12-31,50,587,17741,17227,217.0,0.0,17741.0,0.0,B,,1,8,"['BEWA0066', 'BEWA0067', 'BEWA0106', 'BEWA0107', 'BEWA0119', 'DERP2004', 'DERP2005', 'LU000005']",1.273,0.475,1.402,3.413,0.5,127.574,19.292,0.084,4.65,12.929,3.14,93.099,13.662,0.0,2.661,1.895,0.712,-0.084,0.068,13.742,1.176,2.0,205.388,3.805,3.0,706.491,480.521,233.047,7.071,18.308,7.779,0.517,0.191,10,1.111,0.0,2.756,38.019,59.225,0.0,59.225,0.0,38.019,2.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,73.143,130.0,50.0,52.063,41.948,38.005,20.047,8.785,1.399,1.834,0.19,0.639,0.032,0.031,0.524,0.41,0.003,0.555,0.0,0.0,0.0,0.0,0.0,6.721,1.495,3.524,25.0,3.0,5.0,92.0,59.0,41.0,0.0,DERP2004,Group_1
13,A631101001,La Meurthe Ã  Azerailles et Ã  Baccarat,FR,FR_EAUFRANCE,La Meurthe à Azerailles et à Baccarat,6.738613,48.449237,6.738613,48.449237,260,939.0,934.399,0,0.4899893503727369,1982-12-17,2023-04-13,36,287,7117,4004,7611.0,6808.0,15.0,294.0,E,,1,7,"['FR000142', 'FR000143', 'FR000144', 'FR000146', 'FR003250', 'FR003251', 'FR003252']",1.829,0.563,2.512,2.286,0.665,149.333,24.78,0.512,4.681,1.796,1.842,0.359,1.167,0.0,3.081,2.009,0.652,-0.086,0.054,14.45,1.201,2.0,210.763,3.877,1.0,1298.148,534.797,241.79,10.751,14.57,26.637,0.634,0.163,10,0.947,26.601000000000003,13.441,3.83,56.127,6.421,49.706,0.0,3.83,13.441,0.0,0.0,0.0,0.0,0.0,20.662,1.01,4.774,0.155,27.1,0.292,26.607,46.001,0.0,0.0,1.572,0.0,25.528,0.0,100.429,130.0,30.0,42.043,75.574,15.215,9.211,7.599,1.608,1.553,0.229,0.707,0.049,0.006,0.202,0.676,0.0579999999999999,0.208,1.0,1.0,3.0,2.96,57.7,6.226,0.004,0.007,9.0,59.0,0.0,41.0,56.00000000000001,17.0,27.0,FR003252,Group_1
14,A931108050,La Sarre Ã  Sarreguemines et Ã  Sarreinsming,FR,FR_EAUFRANCE,La Sarre à Sarreguemines et à Sarreinsming,7.106763,49.086785,7.106763,49.086785,195,1760.0,1758.999,0,0.0568749999999986,1964-01-01,2021-06-23,57,661,19999,10481,995.0,18549.0,0.0,1450.0,C,,1,16,"['FR000183', 'FR000184', 'FR000185', 'FR000186', 'FR000187', 'FR000188', 'FR003292', 'FR003293', 'FR003294', 'FR003295', 'FR003296', 'FR003297', 'FR003298', 'FR003299', 'FR003300', 'FR003301', 'FR003302']",0.883,0.378,1.561,2.67,0.536,136.857,24.308,0.145,3.218,14.556,3.019,37.33,7.599,0.0,2.308,2.137,0.926,-0.011,0.033,15.824,1.168,1.0,222.791,4.047,3.0,987.742,292.337,193.776,4.138,54.312,4.286,0.621,0.187,8,1.129,0.244,0.0,85.01400000000001,14.742,0.288,14.454,38.88,46.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,15.252,80.637,3.052,1.059,0.0,0.0,2.207,0.4,12.645,0.0,118.738,130.0,0.0,48.078,36.512,28.558,34.19,8.745,1.341,1.203,0.178,0.638,0.057,0.2,0.372,0.325,0.028,0.5720000000000001,0.0,0.0,28.0,18.63,96.81,3.185,0.436,2.205,16.0,16.0,84.0,0.0,15.0,85.0,0.0,FR003302,Group_1
15,A573061001,La Moselle Ã  Toul,FR,FR_EAUFRANCE,La Moselle à Toul,5.896402,48.669764,5.896402,48.669764,201,3338.0,3396.832,0,-1.762492510485317,1960-01-01,2023-09-30,64,764,23230,9497,54.0,22432.0,789.0,9.0,A,,1,33,"['FR000124', 'FR000125', 'FR000126', 'FR000127', 'FR000128', 'FR000129', 'FR000130', 'FR000131', 'FR000132', 'FR000133', 'FR000134', 'FR000135', 'FR000136', 'FR000137', 'FR000138', 'FR000139', 'FR000140', 'FR003234', 'FR003235', 'FR003236', 'FR003237', 'FR003238', 'FR003239', 'FR003240', 'FR003241', 'FR003242', 'FR003243', 'FR003244', 'FR003245', 'FR003246', 'FR003247', 'FR003248', 'FR003249']",1.578,0.533,1.333,2.764,0.581,136.383,24.18,0.187,5.039,4.357,2.123,55.405,10.057,0.0,2.967,2.132,0.719,-0.106,0.04,14.899,1.217,2.0,210.749,3.912,1.0,1350.794,439.706,199.057,6.123,42.196,10.684,0.534,0.183,8,1.404,18.239,6.461,54.816,20.482,7.223,13.259,17.793,37.023,6.461,0.0,0.0,0.0,0.0,0.0,16.805,0.253,0.0,1.181,20.68,45.687,11.071,22.563,0.0,0.0,4.842,0.0,15.838,0.0,117.538,130.0,30.0,48.42,46.661,25.474,27.865,8.099,1.394,1.761,0.185,0.646,0.056,0.178,0.32,0.412,0.023,0.498,2.0,2.0,20.0,6.58,35.46,4.315,0.391,0.466,21.0,23.0,53.0,24.0,20.0,62.0,18.0,FR003249,Group_1
16,A623201001,A6232010,FR,FR_EAUFRANCE,La Plaine à Raon-l'Étape [La Trouche],6.877879,48.41632,6.877879,48.41632,290,116.0,117.784,0,-1.537931034482764,1970-01-01,2023-09-30,54,644,19452,11494,179.0,19423.0,0.0,29.0,A,,1,1,['FR000144'],1.536,0.552,1.377,2.1,0.693,172.085,31.601,0.491,3.895,0.453,2.0,1.792,5.588,0.0,2.829,2.041,0.722,-0.054,0.047,14.409,1.183,2.0,213.253,3.889,1.0,995.046,509.829,287.534,14.336,7.883,44.296,0.47,0.183,10,0.917,11.931,0.0,4.809,83.26,0.0,83.26,0.0,4.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.931,0.0,62.189,0.0,0.472,37.339,0.0,0.0,0.0,0.0,62.189,0.0,79.831,130.0,30.0,42.685,76.475,15.559,7.966,5.483,1.642,1.91,0.239,0.737,0.017,0.0,0.032,0.856,0.068,0.032,1.0,1.0,2.0,2.86,57.45,7.244,0.0,0.0,4.0,92.0,0.0,8.0,83.0,5.0,12.0,FR000144,Group_1
17,11,Diekirch,LU,LU_CONTACTFORM,Sure,6.161813,49.866622,6.161813,49.866622,,2149.0,2173.568,0,-1.1432294090274644,2002-01-01,2021-07-31,20,235,7152,7152,0.0,0.0,7152.0,0.0,B,,1,17,"['BEWA0087', 'FR003289', 'FR003290', 'FR003291', 'LU000001', 'LU000002', 'LU000004', 'LU000006', 'LU000007', 'LU000008', 'LU000009', 'LU000010', 'LU000011', 'LU000013', 'LU000014', 'LU000015', 'LU000016', 'LU000018']",0.98,0.426,0.948,2.513,0.573,129.333,20.266,0.2,3.581,10.061,3.031,15.883,5.456,0.0,2.378,2.044,0.86,-0.076,0.043,15.457,1.178,2.0,215.879,4.068,3.0,565.199,385.707,187.838,5.598,35.704,5.678,0.564,0.204,10,1.174,0.0,0.0,47.363,52.637,2.708,49.929,1.826,45.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.215,32.006,2.51,48.268,0.0,0.0,0.0,0.0,0.0,17.215,90.912,150.0,30.0,49.874,44.195,32.669,23.135,8.088,1.415,1.204,0.176,0.625,0.09,0.115,0.42,0.361,0.007,0.535,1.0,1.0,2.0,1.8,62.62,4.336,0.096,0.101,47.0,17.0,36.0,47.0,53.0,47.0,0.0,LU000006,Group_2
18,42,EttelbrueckAlzette,LU,LU_CONTACTFORM,Alzette,6.098584,49.8448,6.098584,49.8448,,1091.9,1115.773,0,-2.186372378422916,2002-01-01,2021-07-31,20,235,7152,7152,0.0,0.0,7152.0,0.0,B,,1,10,"['FR003289', 'FR003290', 'FR003291', 'LU000002', 'LU000007', 'LU000009', 'LU000010', 'LU000013', 'LU000014', 'LU000016', 'LU000018']",0.883,0.399,1.039,2.166,0.582,135.833,21.144,0.217,2.846,7.15,1.867,4.903,5.647,0.0,2.281,2.107,0.924,-0.074,0.037,16.586,1.199,2.0,222.628,4.247,3.0,551.658,331.553,197.608,4.526,46.462,3.173,0.671,0.183,8,1.208,0.0,0.0,90.651,9.349,1.924,7.425,3.233,87.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.535,60.346,0.602,5.517,0.0,0.0,0.0,0.0,0.0,33.535,111.504,150.0,30.0,48.282,45.589,28.162,26.249,7.078,1.417,0.989,0.17,0.617,0.136,0.166,0.367,0.317,0.008,0.533,0.0,0.0,0.0,0.0,0.0,3.243,0.051,0.056,31.0,26.0,68.0,6.0,9.0,91.0,0.0,LU000007,Group_2
19,7,Mersch,LU,LU_CONTACTFORM,Alzette,6.115991,49.753068,6.115991,49.753068,,707.0,733.294,0,-3.719094766619517,2002-01-01,2021-07-31,20,235,7152,7152,0.0,0.0,7152.0,0.0,B,,1,8,"['FR003289', 'FR003290', 'FR003291', 'LU000009', 'LU000010', 'LU000013', 'LU000016', 'LU000018', 'LU000014']",0.839,0.381,1.022,1.875,0.585,136.0,20.123,0.24,2.667,6.282,1.662,,,0.0,2.249,2.136,0.95,-0.069,0.035,17.226,1.197,2.0,225.417,4.288,3.0,455.85,329.585,214.566,4.299,51.911,3.539,0.67,0.201,8,1.23,0.0,0.0,98.231,1.769,1.769,0.0,0.0,98.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.048,54.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.048,115.87,150.0,30.0,46.428,48.412,25.533,26.056,6.55,1.434,0.893,0.165,0.604,0.173,0.18,0.307,0.314,0.013,0.487,0.0,0.0,0.0,0.0,0.0,3.031,0.051,0.056,25.0,30.0,70.0,0.0,2.0,98.0,0.0,LU000014,Group_2
20,2628005000,Pruem,DE,DE_RP,Pruem,6.44,50.219,6.44,50.219,,53.2,54.0,0,-1.5037593984962352,1975-11-01,2021-12-31,47,552,16758,16132,105.0,0.0,16758.0,0.0,B,,1,1,['DERP2006'],1.516,0.549,1.32,3.954,0.444,126.581,19.343,0.086,5.92,17.458,2.734,113.816,13.22,0.0,2.726,1.825,0.67,-0.104,0.086,14.872,1.177,2.0,206.382,3.757,3.0,678.132,571.387,439.955,6.127,17.675,1.855,0.665,0.123,8,1.03,0.0,14.658,85.342,0.0,0.0,0.0,0.0,85.342,14.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.348,0.0,0.0,90.652,0.0,0.0,0.0,0.0,9.348,0.0,91.961,130.0,50.0,51.974,41.451,38.902,19.647,9.412,1.412,1.463,0.196,0.646,0.0139999999999999,0.0,0.525,0.461,0.0,0.525,0.0,0.0,0.0,0.0,0.0,8.568,0.0,0.0,5.0,4.0,11.0,85.0,0.0,100.0,0.0,DERP2006,Group_2
